txn_id,user_id,merchant_id,bank_id,txn_time,amount,status,failure_reason
de3bfd39-52ad-4ac9-a967-895000358084,787,112,9,21-03-2025 17:17,4859.57,SUCCESS,NULL
bfa5412a-a12f-4b43-b448-0a1230e995f8,242,68,1,29-10-2024 17:10,6541.02,SUCCESS,NULL
ac0da711-f36e-46a6-8335-22f9e3f6380a,22,18,10,08-03-2025 06:46,5127.52,SUCCESS,NULL
a8936e8b-c631-4881-8467-2b4eb0f35c1d,203,32,5,23-12-2024 05:54,4731.21,SUCCESS,NULL
c2ed665a-52be-4474-aef0-2962d438f6e1,99,76,10,26-10-2024 04:52,5147.39,SUCCESS,NULL
9c13fdf4-718a-44f4-88f9-0228ce108642,596,85,20,02-06-2025 20:10,8567.92,SUCCESS,NULL
30e2c03e-a070-4076-afa6-e7e7c0448834,897,120,17,01-01-2025 14:59,1945.26,FAILED,CARD_DECLINED
1ddc58a7-6487-41cb-91f6-3f3821a8d7ff,679,46,20,27-03-2025 20:40,882.94,SUCCESS,NULL
06a16bff-daca-4322-8209-9b2f5d4ddc0a,409,195,5,17-06-2025 17:01,5958.95,FAILED,CARD_DECLINED
cfe8af4a-6bf2-482d-8f49-91af62f352af,825,114,12,09-11-2024 21:20,9051.04,FAILED,INVALID_PIN
9d791a99-1ccd-4f15-95fd-14668d8e70c9,462,86,17,21-07-2024 17:54,8163.24,FAILED,TIMEOUT
ab3104f8-8187-44cf-bd19-a78f6d374871,22,66,12,13-07-2024 02:22,535.25,FAILED,CARD_DECLINED
686702ce-22a6-48be-9db9-f6ec3b9a44b1,446,106,18,07-11-2024 18:53,7253.32,SUCCESS,NULL
3b6e8f04-713a-43f1-af9d-d2a264307b88,742,146,12,02-07-2024 05:51,2387.39,SUCCESS,NULL
113076a9-11d8-4733-98c4-266b1f22b7d1,746,57,10,07-05-2025 18:59,5902.22,SUCCESS,NULL
1fe0316a-20bc-4a86-a5b1-715b4f82be2e,408,10,9,19-10-2024 08:12,665.81,FAILED,INVALID_PIN
f33293ef-a44b-492f-bc33-5a3e1946aef7,966,99,16,22-01-2025 00:25,7794.79,FAILED,INVALID_PIN
281e3ce5-e0a4-4432-a8f3-8b0ca1cc6650,588,22,9,11-12-2024 23:08,7632.95,SUCCESS,NULL
c2311f41-17c9-4010-b4e1-cddf1a279ef0,245,79,2,09-05-2025 09:14,1343.46,SUCCESS,NULL
59b1e4d3-97f3-4532-b928-d8e5581da12a,761,57,16,08-09-2024 17:25,8177.58,FAILED,INSUFFICIENT_FUNDS
175b62f2-d857-4cd8-aac6-0d03c30161f3,622,145,6,17-01-2025 01:04,2267.14,SUCCESS,NULL
a1457454-dc15-4cfc-b2eb-9d64fbb09cf9,414,196,13,01-01-2025 08:05,7507.88,SUCCESS,NULL
f81fc64d-dd66-4616-8dd4-79d2e84dcd84,241,98,19,09-01-2025 20:18,2520.52,FAILED,INSUFFICIENT_FUNDS
20ba96aa-309f-4d6a-b43e-d66768ab1b5e,45,37,14,18-08-2024 06:34,672.87,SUCCESS,NULL
c708780c-71c8-496a-bbbd-e8512bc7c3a1,549,27,10,21-02-2025 04:07,3888.31,SUCCESS,NULL
830b38e5-342d-407e-af1a-192a98980933,876,101,11,03-03-2025 00:51,8145.2,SUCCESS,NULL
194514fd-c5b6-42c2-9367-838abe2f0655,490,87,8,08-05-2025 16:51,3060.89,SUCCESS,NULL
c58018c0-96c2-4003-9bb5-eebd59fba004,301,45,7,28-05-2025 14:30,5521.91,SUCCESS,NULL
